id,postcode,title,update date,start date,end_date,country subentity,city,estimate overall contract amount,total amount,tax excslusive amount
794238,38800,"Servicio de teleasistencia domiciliaria del Excmo. Cabildo Insular de La Gomera, mediante procedimiento abierto, varios criterios de adjudicación, trámite de urgencia y anticipado.",2013-01-15,2013-01-01,2013-12-31,ESPAÑA,San Sebastián de la Gomera,No amount available,38513.52,35992.44
783400,47011,"Servicio de seguridad mediante auxiliares de servicios para los colegios mayores, residencias y museos de la Universidad de Valladolid",2013-01-15,2013-01-01,2012-11-19,Valladolid,Valladolid,520479.34,314890,260239.67
798983,28040,Cursos de idiomas para el personal del CSN,2013-01-15,No date available,No date available,ESPAÑA,Madrid,59304.96,59304.96,59304.96
794819,08022,Suministro mediante arrendamiento de los productos software IBM del entorno Mainframe para Mutua Universal.,2013-01-15,2013-01-01,No date available,ESPAÑA,Barcelona,724838.4,584702.98,483225.6
798984,38200,Mantenimiento de licencias VMWARE,2013-01-15,No date available,No date available,ESPAÑA,la laguna,55500,33300,33300
798985,28029,Servicios de asistencia técnica para la realización de controles de verificación de acciones confinanciadas con fondos comunicarios feder ,2013-01-15,No date available,2013-02-05,ESPAÑA,Madrid,780000,471900,390000
734909,28006,Mantenimiento de lineas electricas de alta/media tensión y centros de transformación en Centros RCT del STM,2013-01-15,2012-07-31,2012-06-13,ESPAÑA,Madrid,242372.88,143000,121186.44
737063,28006,Servicio de Mantenimiento de preventivo y correctivo de instalaciones de protección contraincendios en centros del STM,2013-01-15,2012-08-02,2012-06-20,ESPAÑA,Madrid,236000,139240,118000
783493,28850,Repuestos consumibles MIRACH 100-5,2013-01-15,No date available,2012-09-30,ESPAÑA,"Torrejón de Ardoz, Madrid",No amount available,39444.96,39444.96
736858,28006,Servicio de hostelería en el Cuartel del Estado Mayor de la Defensa,2013-01-15,2012-08-01,2012-07-05,ESPAÑA,Madrid,389914.56,220443.66,194957.29
738520,28006,Mantenimiento de la red de proposito general del Cuartel General del EMAD,2013-01-15,2012-09-20,2012-08-13,ESPAÑA,Madrid,208008,122724.72,104004
798986,28046,Realización trabajos técnicos para adecuación de los registros bibliográficos de la Biblioteca Virtual de Defensa (BVD) a la Normativa Internacional Europeana Data Model.,2013-01-15,2013-05-01,2013-01-28,ESPAÑA,Madrid,120000,145200,120000
